2024-05-23 14:08:45.889 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:10:43.453 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:10:45.956 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:10:49.895 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:10:55.975 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:10:59.764 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:11:29.925 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:11:31.714 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:11:46.973 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:11:53.611 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:11:58.903 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:04.458 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:08.219 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:10.155 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:27.180 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:32.849 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:34.866 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:52.178 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:13:54.450 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:14:04.298 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:14:12.043 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:14:18.990 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:14:25.572 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:14:34.077 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:17:49.662 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:17:52.395 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:17:55.662 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:26.857 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:30.620 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:34.783 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:36.290 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:38.373 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:40.414 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:42.561 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:43.692 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:18:49.394 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:02.990 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:06.254 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:11.423 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:13.532 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
